Date,Open,High,Low,Close,Adj Close,Volume
2009-08-25,210.0,210.0,201.0,202.5500030517578,194.1909637451172,105
2009-08-26,190.1999969482422,213.9499969482422,190.1999969482422,209.0,200.374755859375,325
2009-08-27,220.0,220.0,199.0,203.75,195.34146118164062,1600
2009-08-28,209.89999389648438,209.89999389648438,189.0,189.39999389648438,181.58364868164062,22741
2009-08-31,189.0,195.0,189.0,193.89999389648438,185.89793395996094,754
2009-09-01,193.89999389648438,200.0,190.0,196.0,187.9112548828125,4000
2009-09-02,199.85000610351562,199.85000610351562,195.0,195.0,186.9525604248047,39
2009-09-03,199.0,204.0,195.10000610351562,203.0,194.6223907470703,112
2009-09-04,197.0,204.0,195.25,199.0,190.7874755859375,548
2009-09-07,209.0,218.9499969482422,197.1999969482422,215.5500030517578,206.6544647216797,1090
2009-09-08,233.35000610351562,233.35000610351562,212.0,221.39999389648438,212.2630615234375,290
2009-09-09,220.0,220.0,212.60000610351562,219.0,209.96209716796875,740
2009-09-10,212.1999969482422,225.0,210.0,211.4499969482422,202.72366333007812,784
2009-09-11,202.0,223.85000610351562,202.0,221.8000030517578,212.64657592773438,512
2009-09-14,218.9499969482422,221.0,211.10000610351562,221.0,211.87954711914062,1200
2009-09-15,220.9499969482422,220.9499969482422,211.1999969482422,220.9499969482422,211.8316192626953,55
2009-09-16,220.9499969482422,220.9499969482422,220.9499969482422,220.9499969482422,211.8316192626953,0
2009-09-17,211.1999969482422,217.25,211.1999969482422,217.0500030517578,208.09259033203125,286
2009-09-18,222.0,222.0,221.0,221.0,211.87954711914062,145
2009-09-22,210.60000610351562,240.0,210.60000610351562,235.60000610351562,225.8770294189453,1509
2009-09-23,222.10000610351562,226.0,222.0,222.0,212.83827209472656,195
2009-09-24,230.0,235.0,224.0500030517578,233.5,223.86367797851562,426
2009-09-25,240.0,259.79998779296875,240.0,253.0,242.55892944335938,21800
2009-09-29,253.0,270.0,253.0,255.3000030517578,244.7640380859375,4661
2009-09-30,244.0,288.79998779296875,232.25,267.0,255.9811248779297,4000
2009-10-01,267.0,267.0,255.0,257.75,247.11294555664062,544
2009-10-05,251.0,255.0,250.0,250.5500030517578,240.21005249023438,101
2009-10-06,241.0,247.89999389648438,237.0,237.0,227.21923828125,144
2009-10-07,237.0500030517578,258.8500061035156,221.0,241.75,231.773193359375,9603
2009-10-08,222.5,260.0,222.5,235.85000610351562,226.11672973632812,11447
2009-10-09,234.10000610351562,238.0,234.10000610351562,236.5500030517578,226.787841796875,883
2009-10-12,230.0,270.0,226.0,232.25,222.66526794433594,841
2009-10-13,232.25,232.25,232.25,232.25,222.66526794433594,0
2009-10-14,231.0,241.0,225.14999389648438,229.5,220.02879333496094,879
2009-10-15,224.0,239.89999389648438,224.0,238.0,228.17794799804688,246
2009-10-16,232.0,238.89999389648438,230.0,237.0,227.21923828125,650
2009-10-20,231.0,238.5,231.0,236.0500030517578,226.30844116210938,440
2009-10-21,228.10000610351562,232.0,226.75,228.4499969482422,219.02210998535156,507
2009-10-22,223.1999969482422,238.0,223.1999969482422,227.0500030517578,217.6798553466797,100
2009-10-23,231.0,231.0,231.0,231.0,221.4668426513672,50
2009-10-26,239.89999389648438,245.0,231.3000030517578,239.10000610351562,229.23260498046875,567
2009-10-27,231.5,238.0,225.10000610351562,225.10000610351562,215.8103485107422,290
2009-10-28,215.0,253.89999389648438,215.0,233.85000610351562,224.1992645263672,198
2009-10-29,245.0,245.0,225.25,225.25,215.9541473388672,200
2009-10-30,221.75,243.25,221.75,225.5,216.19384765625,77
2009-11-03,224.0,235.0,220.0,220.1999969482422,211.11256408691406,375
2009-11-04,213.0500030517578,226.0,213.0500030517578,219.39999389648438,210.34559631347656,764
2009-11-05,226.0,231.1999969482422,214.0,219.9499969482422,210.87286376953125,508
2009-11-06,220.8000030517578,231.0,215.0,220.6999969482422,211.59193420410156,874
2009-11-09,217.10000610351562,229.0,217.10000610351562,218.10000610351562,209.09922790527344,265
2009-11-10,240.0,241.0,223.0,228.75,219.30970764160156,124
2009-11-11,224.89999389648438,225.0,216.0,219.4499969482422,210.39353942871094,153
2009-11-12,235.5,245.0,220.14999389648438,230.8000030517578,221.2751007080078,28678
2009-11-13,230.0,238.5,229.89999389648438,235.1999969482422,225.4935302734375,26296
2009-11-16,235.0,242.0,231.0,231.0,221.4668426513672,3600
2009-11-17,227.5,246.9499969482422,227.5,228.0,218.59068298339844,27
2009-11-18,200.0,244.0,200.0,244.0,233.9303741455078,200
2009-11-19,244.0,244.0,244.0,244.0,233.9303741455078,0
2009-11-20,244.0,244.0,244.0,244.0,233.9303741455078,0
2009-11-23,226.5,237.75,226.35000610351562,228.4499969482422,219.02210998535156,56
2009-11-24,250.0,250.0,230.0,238.9499969482422,229.0887908935547,85
2009-11-25,226.1999969482422,248.0,226.1999969482422,234.9499969482422,225.2538604736328,131
2009-11-26,251.0,251.0,236.0,237.10000610351562,227.3151397705078,132
2009-11-27,227.25,246.0,227.25,239.39999389648438,229.52017211914062,331
2009-11-30,248.0,248.0,246.0,247.0,236.80654907226562,41
2009-12-01,241.0,260.0,241.0,256.1000061035156,245.53102111816406,595
2009-12-02,262.0,263.3500061035156,252.0,262.20001220703125,251.3792724609375,311
2009-12-03,263.29998779296875,269.8999938964844,255.0,269.54998779296875,258.4259338378906,270
2009-12-04,267.1000061035156,267.1000061035156,267.04998779296875,267.04998779296875,256.0291442871094,59
2009-12-07,270.0,272.0,262.0,262.0,251.18751525878906,139
2009-12-08,250.0,269.5,250.0,257.1499938964844,246.53768920898438,1133
2009-12-09,255.14999389648438,269.79998779296875,255.14999389648438,266.95001220703125,255.9332733154297,205
2009-12-10,295.0,295.0,265.1000061035156,282.75,271.0812072753906,777
2009-12-11,309.0,310.0,262.20001220703125,276.0,264.6097717285156,1232
2009-12-14,290.70001220703125,290.70001220703125,270.0,277.8500061035156,266.3834533691406,801
2009-12-15,324.79998779296875,324.79998779296875,273.54998779296875,276.75,265.328857421875,1819
2009-12-16,278.0,300.0,275.1499938964844,290.3500061035156,278.3675842285156,1450
2009-12-17,296.0,296.0,286.5,286.8999938964844,275.05987548828125,588
2009-12-18,282.0,293.0,282.0,282.6499938964844,270.9853210449219,198
2009-12-21,281.1499938964844,288.0,273.04998779296875,281.8999938964844,270.266357421875,488
2009-12-22,273.04998779296875,288.75,273.04998779296875,274.1499938964844,262.836181640625,259
2009-12-23,275.3999938964844,284.3999938964844,275.3999938964844,279.75,268.20501708984375,15813
2009-12-24,279.0,283.8999938964844,265.0,268.20001220703125,257.1316833496094,16080
2009-12-29,266.5,293.79998779296875,266.5,275.95001220703125,264.56182861328125,875
2009-12-30,268.1000061035156,283.0,268.1000061035156,270.04998779296875,258.9052734375,265
2009-12-31,275.0,279.5,267.25,275.0,263.6510009765625,647
2010-01-04,255.0,285.0,255.0,277.8500061035156,266.3834533691406,1555
2010-01-05,273.0,292.0,273.0,286.95001220703125,275.1078796386719,447
2010-01-06,291.95001220703125,292.0,281.5,292.0,279.949462890625,968
2010-01-07,301.0,301.0,285.0,285.8500061035156,274.0532531738281,289
2010-01-08,287.0,292.3999938964844,285.1000061035156,288.95001220703125,277.0252990722656,665
2010-01-11,296.75,300.0,290.0,294.45001220703125,282.2983093261719,411
2010-01-12,283.04998779296875,311.0,283.04998779296875,303.0,290.49554443359375,939
2010-01-13,308.0,314.5,292.1499938964844,301.0,288.5780334472656,480
2010-01-14,308.6000061035156,313.5,300.0,301.3999938964844,288.9615478515625,387
2010-01-15,307.5,313.0,306.0,310.5,297.6860046386719,335
2010-01-18,329.5,329.5,312.0,318.45001220703125,305.30792236328125,675
2010-01-19,320.04998779296875,326.70001220703125,320.0,320.1000061035156,306.8898010253906,240
2010-01-20,304.0,328.0,304.0,318.75,305.5954895019531,762
2010-01-21,306.0,324.0,306.0,320.8999938964844,307.6568603515625,95
2010-01-22,290.0,330.0,290.0,309.8999938964844,297.11077880859375,269
2010-01-25,300.0,317.1000061035156,300.0,300.20001220703125,287.81103515625,335
2010-01-27,291.5,314.0,291.5,293.3500061035156,281.2436828613281,1094
2010-01-28,292.0,293.0,283.04998779296875,283.04998779296875,271.36883544921875,205
2010-01-29,275.0,290.0,274.0,290.0,278.031982421875,291
2010-02-01,287.25,309.45001220703125,287.25,297.8999938964844,285.60595703125,345
2010-02-02,298.0,298.0,288.1000061035156,292.6000061035156,280.5246887207031,95
2010-02-03,295.0,295.0,289.79998779296875,290.0,278.031982421875,76
2010-02-04,287.0,287.0,280.20001220703125,281.5,269.8828430175781,180
2010-02-05,270.0,272.04998779296875,268.0,272.0,260.77490234375,442
2010-02-08,298.0,298.0,267.29998779296875,274.1499938964844,262.836181640625,266
2010-02-09,286.25,286.25,281.0,282.0,270.3621826171875,59
2010-02-10,271.1499938964844,279.0,270.1499938964844,271.0,259.81610107421875,81
2010-02-11,271.1499938964844,293.1499938964844,271.1499938964844,273.25,261.97320556640625,135
2010-02-15,272.6499938964844,280.0,272.6499938964844,275.54998779296875,264.17828369140625,159
2010-02-16,275.75,275.75,275.75,275.75,264.3700866699219,12
2010-02-17,322.5,326.0,294.0,315.29998779296875,302.287841796875,64228
2010-02-18,307.0,320.0,284.04998779296875,298.79998779296875,286.4688415527344,19007
2010-02-19,299.8999938964844,299.8999938964844,285.0,288.54998779296875,276.641845703125,1524
2010-02-22,287.0,291.6000061035156,281.1499938964844,286.8999938964844,275.05987548828125,700
2010-02-23,281.5,283.54998779296875,275.1000061035156,276.54998779296875,265.1370544433594,809
2010-02-24,272.3999938964844,278.6000061035156,272.3999938964844,274.45001220703125,263.12371826171875,312
2010-02-25,270.1499938964844,280.0,268.1000061035156,278.0,266.5271911621094,712
2010-02-26,268.54998779296875,283.0,268.54998779296875,278.04998779296875,266.57513427734375,606
2010-03-02,271.0,283.0,270.6000061035156,278.75,267.24627685546875,229
2010-03-03,285.0,324.0,281.0,287.29998779296875,275.4433898925781,553
2010-03-04,275.0,300.0,275.0,283.1000061035156,271.4167175292969,78
2010-03-05,299.0,300.0,280.0,291.0,278.99072265625,424
2010-03-08,290.8999938964844,299.0,285.6499938964844,292.0,279.949462890625,69
