Date,Open,High,Low,Close,Adj Close,Volume,%delivery,Share Delivery,52_Week_High,52_Week_Low,Basic EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),P/E,P/B (price to book ratio),FII,DII,%Delivery,Delivery_Volume,Traded_Volume
13-01-2022,3918,3923,3857,3897.899902,3731.040283,6684507,0.317889883,21249.3715,4043,2926.100098,103.24,113.96,210.86,43,34.20410585,18.48572466,14.15,7.81,55.90%,3737.08,6684.51
14-01-2022,3877.850098,3977,3860.050049,3968.149902,3798.283203,3348123,0.159224073,5331.017805,4043,2926.100098,103.24,113.96,210.86,43,34.82055021,18.8188841,14.15,7.81,52.80%,1768.47,3348.12
17-01-2022,3992.699951,4043,3962.300049,4019.149902,3847.099854,3442604,0.163717232,5636.13598,4043,2926.100098,103.24,113.96,210.86,43,35.26807566,19.06075075,14.15,7.81,49.40%,1699.92,3442.6
18-01-2022,4033.949951,4041.699951,3980,3990.600098,3819.772217,2389041,0.113613759,2714.279275,4043,2926.100098,103.24,113.96,210.86,43,35.01755087,18.92535378,14.15,7.81,68.50%,1635.85,2389.04
19-01-2022,4012,4012,3910.5,3914.649902,3753.657227,3102539,0.147545026,4577.641981,4043,2926.100098,103.24,113.96,210.86,43,34.35108724,18.56516126,14.15,7.81,68.40%,2121.31,3102.54
20-01-2022,3910,3920,3811,3826.550049,3669.180908,6176776,0.293744116,18143.91608,4043,2926.100098,103.24,113.96,210.86,43,33.57801026,18.14734918,14.15,7.81,80.30%,4962.14,6176.78
21-01-2022,3807,3851.550049,3771.100098,3833.5,3675.844971,3112358,0.148011981,4606.662724,4043,2926.100098,103.24,113.96,210.86,43,33.63899614,18.18030921,14.15,7.81,57.70%,1795.71,3112.36
24-01-2022,3840,3849.649902,3740.100098,3771.350098,3616.251221,3258414,0.154957852,5049.168342,4043,2926.100098,103.24,113.96,210.86,43,33.0936302,17.88556434,14.15,7.81,64.30%,2095.91,3258.41
25-01-2022,3769.5,3809.399902,3722.199951,3769.899902,3614.860596,3330501,0.158386037,5275.048552,4043,2926.100098,103.24,113.96,210.86,43,33.08090472,17.87868682,14.15,7.81,64.30%,2095.91,3258.41
27-01-2022,3731,3733.399902,3625.100098,3649.25,3499.172363,5718297,0.271940588,15550.3705,4043,2926.100098,103.24,113.96,210.86,43,32.02220077,17.30650669,14.15,7.81,68%,3887.6,5718.3
28-01-2022,3646,3729.800049,3646,3690.050049,3538.294434,3143862,0.149510192,4700.394109,4043,2926.100098,103.24,113.96,210.86,43,32.38022156,17.50000023,14.15,7.81,59.30%,1863.03,3143.86
31-01-2022,3749,3758,3721.399902,3736.25,3582.594238,2739393,0.130275175,3568.749032,4043,2926.100098,103.24,113.96,210.86,43,32.78562654,17.71910272,14.15,7.81,62.40%,1708.47,2739.39
01-02-2022,3770,3808,3736.399902,3800.649902,3644.345947,2105169,0.100113879,2107.566354,4043,2926.100098,103.24,113.96,210.86,43,33.35073624,18.02451817,14.15,7.81,50.70%,1067.32,2105.17
02-02-2022,3827.899902,3864,3800.649902,3856.199951,3697.611572,1984212,0.094361622,1872.334622,4043,2926.100098,103.24,113.96,210.86,43,33.83818841,18.28796335,14.15,7.81,58.40%,1158.08,1984.21
03-02-2022,3851,3882.5,3816.050049,3824.600098,3667.311035,1960538,0.093235776,1827.922814,4043,2926.100098,103.24,113.96,210.86,43,33.56089942,18.13810157,14.15,7.81,63.40%,1242.61,1960.54
04-02-2022,3815.300049,3824.699951,3769,3814.899902,3658.009766,2307366,0.109729604,2531.863583,4043,2926.100098,103.24,113.96,210.86,43,33.47578012,18.09209856,14.15,7.81,61.40%,1415.83,2307.37
07-02-2022,3791,3831.800049,3756.149902,3779,3623.586426,1919149,0.091267471,1751.558765,4043,2926.100098,103.24,113.96,210.86,43,33.16075816,17.92184388,14.15,7.81,60.50%,1160.28,1919.15
08-02-2022,3791.550049,3799.699951,3721,3743.449951,3589.498535,2946443,0.140121691,4128.605743,4043,2926.100098,103.24,113.96,210.86,43,32.84880617,17.75324837,14.15,7.81,71%,2092.33,2946.44
09-02-2022,3750,3777.949951,3746.100098,3760.550049,3605.895264,1638721,0.077931376,1277.077822,4043,2926.100098,103.24,113.96,210.86,43,32.99885968,17.83434529,14.15,7.81,72.70%,1190.88,1638.72
10-02-2022,3789.800049,3789.800049,3758,3770.350098,3615.292236,2112459,0.100460564,2122.188231,4043,2926.100098,103.24,113.96,210.86,43,33.08485519,17.88082186,14.15,7.81,71.60%,1512.56,2112.46
11-02-2022,3752.5,3752.5,3690,3694.949951,3542.99292,3851488,0.183162209,7054.470515,4043,2926.100098,103.24,113.96,210.86,43,32.42321824,17.52323794,14.15,7.81,69.70%,2684.98,3851.49
14-02-2022,3724,3793.25,3710,3733.75,3580.197266,5951745,0.283042493,16845.9674,4043,2926.100098,103.24,113.96,210.86,43,32.76368901,17.70724651,14.15,7.81,53.10%,3157.47,5951.74
15-02-2022,3786,3835,3748,3817.800049,3660.790771,3931683,0.18697598,7351.302836,4043,2926.100098,103.24,113.96,210.86,43,33.50122893,18.10585246,14.15,7.81,58.10%,2283.22,3931.68
16-02-2022,3844,3854.100098,3806,3813.100098,3656.28418,3256906,0.154886137,5044.495895,4043,2926.100098,103.24,113.96,210.86,43,33.45998682,18.08356302,14.15,7.81,61.10%,1989.27,3256.91
17-02-2022,3825,3835,3779,3784.199951,3628.572754,3134372,0.149058883,4672.059904,4043,2926.100098,103.24,113.96,210.86,43,33.20638778,17.94650456,14.15,7.81,68.30%,2140.34,3134.37
18-02-2022,3769,3815.949951,3757.600098,3793.899902,3637.874023,3688883,0.17542933,6471.382742,4043,2926.100098,103.24,113.96,210.86,43,33.29150493,17.99250641,14.15,7.81,73.90%,2727.48,3688.88
21-02-2022,3810,3827.800049,3705.550049,3719.399902,3566.4375,7465922,0.355051027,26507.83271,4043,2926.100098,103.24,113.96,210.86,43,32.63776678,17.63919142,14.15,7.81,64.90%,4843.45,7465.92
22-02-2022,3650,3667.899902,3570,3586.399902,3438.907227,5408531,0.257209288,13911.24409,4043,2926.100098,103.24,113.96,210.86,43,31.47069061,17.00844116,14.15,7.81,59.40%,3214.08,5408.53
23-02-2022,3611,3622.899902,3555.649902,3563.800049,3417.236816,2426203,0.115381043,2799.378323,4043,2926.100098,103.24,113.96,210.86,43,31.2723767,16.90126173,14.15,7.81,60.80%,1476.11,2426.2
24-02-2022,3474,3483.850098,3391.100098,3401.649902,3261.755127,5039136,0.239642259,12075.89932,4043,2926.100098,103.24,113.96,210.86,43,29.84950774,16.13226739,14.15,7.81,62.10%,3127.58,5039.14
25-02-2022,3468,3530,3462,3520.75,3375.957031,2549723,0.121255187,3091.671394,4043,2926.100098,103.24,113.96,210.86,43,30.89461214,16.6970976,14.15,7.81,50.40%,1286.09,2549.72
28-02-2022,3490,3563.75,3455.899902,3554.199951,3408.03125,3288942,0.156409648,5144.222613,4043,2926.100098,103.24,113.96,210.86,43,31.18813576,16.85573343,14.15,7.81,59.50%,1957.82,3288.94
02-03-2022,3552.5,3571.949951,3506,3546.149902,3400.312256,2761341,0.131318939,3626.163708,4043,2926.100098,103.24,113.96,210.86,43,31.11749651,16.81755621,14.15,7.81,58.20%,1608.35,2761.34
03-03-2022,3562.850098,3578.600098,3530.100098,3544.399902,3398.634521,1928039,0.091690246,1767.823706,4043,2926.100098,103.24,113.96,210.86,43,31.10214025,16.80925686,14.15,7.81,56.80%,1095.45,1928.04
04-03-2022,3501.5,3561.199951,3487.050049,3524.350098,3379.40918,2370257,0.112720463,2671.764654,4043,2926.100098,103.24,113.96,210.86,43,30.92620303,16.714171,14.15,7.81,59.60%,1412.78,2370.26
07-03-2022,3450,3548,3431.550049,3484.899902,3341.581543,3054130,0.145242877,4435.906285,4043,2926.100098,103.24,113.96,210.86,43,30.58002722,16.52707912,14.15,7.81,60.30%,1842.82,3054.13
08-03-2022,3460,3609,3460,3599.949951,3451.900146,3300992,0.156982701,5181.986391,4043,2926.100098,103.24,113.96,210.86,43,31.58959241,17.07270204,14.15,7.81,57.50%,1897.3,3300.99
09-03-2022,3605,3654,3597.050049,3632.600098,3483.207275,2719654,0.129336463,3517.504291,4043,2926.100098,103.24,113.96,210.86,43,31.87609773,17.22754481,14.15,7.81,54.90%,1493.36,2719.65
10-03-2022,3684,3684,3615,3620.949951,3472.036621,2005441,0.095371193,1912.613001,4043,2926.100098,103.24,113.96,210.86,43,31.7738676,17.17229418,14.15,7.81,57%,1143.53,2005.44
11-03-2022,3603.25,3639.850098,3592.850098,3599.149902,3451.132813,1623423,0.077203861,1253.345233,4043,2926.100098,103.24,113.96,210.86,43,31.58257198,17.06890782,14.15,7.81,61.50%,997.93,1623.42
14-03-2022,3580,3648.350098,3580,3643,3493.179688,1765688,0.083969446,1482.638439,4043,2926.100098,103.24,113.96,210.86,43,31.96735697,17.27686617,14.15,7.81,53.70%,947.61,1765.69
15-03-2022,3659,3659,3585.399902,3593.899902,3446.098633,3651133,0.173634083,6339.611303,4043,2926.100098,103.24,113.96,210.86,43,31.53650318,17.04400978,14.15,7.81,80.50%,2937.82,3651.13
